outcome,n_obs,n_clusters,controls,coef_medium,se_medium,ci_low_medium,ci_high_medium,pval_cluster_medium,pval_wbt_medium,coef_high,se_high,ci_low_high,ci_high_high,pval_cluster_high,pval_wbt_high,label,exposure_spec,control_spec
poverty,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,-0.0014151131862935368,0.010680217786739112,-0.02405616346923888,0.02122593709665181,0.896241988328665,0.9040904090409041,-0.008396221042215922,0.009585203183005245,-0.02871594406398118,0.011923501979549335,0.39401468477693946,0.3986398639863986,baseline_2021_2025,exposure_cov_hybrid,preferred_demographic
matdep,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.007068201264849717,0.004955317169348472,-0.0034366018617741747,0.01757300439147361,0.172977811793936,0.22812281228122813,0.008304632838594912,0.005419598884452298,-0.003184403556209116,0.01979366923339894,0.14497298125906055,0.19461946194619462,baseline_2021_2025,exposure_cov_hybrid,preferred_demographic
poverty_gap,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,-3.539762763076416e-05,0.006051406538265444,-0.012863806415841826,0.012793011160580297,0.9954051239304547,0.9951995199519952,-0.0017073649105611248,0.005323426109993937,-0.01299252413115006,0.009577794310027811,0.7525684633615515,0.7671767176717672,baseline_2021_2025,exposure_cov_hybrid,preferred_demographic
poverty_gap_sq,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.0012880830765384858,0.004316103946517712,-0.007861648551674183,0.010437814704751155,0.769210917332068,0.7970797079707971,0.0006051112119733086,0.004048321708568919,-0.007976947430974386,0.009187169854921004,0.8830489866523461,0.8930893089308931,baseline_2021_2025,exposure_cov_hybrid,preferred_demographic
poverty,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.022828292486914408,0.00847639988360299,0.004859127455346005,0.04079745751848281,0.015994482698137746,0.07220722072207221,0.0025785198462222637,0.007705410333848584,-0.013756220353177567,0.018913260045622094,0.7422451538383408,0.7800780078007801,baseline_2021_2025,exposure_exp_hybrid,preferred_demographic
matdep,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,-0.00045243895348042666,0.0026914056431557648,-0.0061579640387603215,0.005253086131799468,0.8686071876620423,0.8684868486848685,0.00684370652593298,0.005203855638789266,-0.004187974619118791,0.01787538767098475,0.20700594182325283,0.2875287528752875,baseline_2021_2025,exposure_exp_hybrid,preferred_demographic
poverty_gap,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.008974993213925982,0.005176324901194894,-0.0019983253746080117,0.019948311802459977,0.10216645892678633,0.16731673167316732,-0.0008087280049758243,0.00395289846779903,-0.009188498414146568,0.007571042404194918,0.8404714731943161,0.8660866086608661,baseline_2021_2025,exposure_exp_hybrid,preferred_demographic
poverty_gap_sq,171152,17,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.005788382183317716,0.0036457238404271303,-0.0019402071055010213,0.013516971472136454,0.13191297809943503,0.19431943194319432,-0.0005736414836981025,0.0033268791731420654,-0.007626310272710792,0.006479027305314588,0.8652645995977033,0.875987598759876,baseline_2021_2025,exposure_exp_hybrid,preferred_demographic
poverty,159769,15,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,0.003182586770046745,0.01040620344679258,-0.019136499854398345,0.025501673394491838,0.764230340393619,0.8051805180518051,-0.0020187992393340105,0.007406782623067712,-0.017904768009590552,0.013867169530922532,0.7891696846995635,0.796979697969797,baseline_2021_2025,exposure_cov_sim,preferred_demographic
matdep,159769,15,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group,-7.638866842919786e-05,0.005645115904309033,-0.012183958111744287,0.012031180774885892,0.9893944490720692,0.9891989198919892,0.007285077929965715,0.006900019919939694,-0.007513992940688613,0.02208414880062004,0.3089370830098699,0.3795379537953795,baseline_2021_2025,exposure_cov_sim,preferred_demographic
